"","CODE","treeName","smithName","splicedTreeName","Scientific.Name","Family","Family.simplified","less.than.four","phylo.spp","accepted","author"
"86","PHLPIL","Phlox_pilosa","Phlox_pilosa_subsp._pilosa","Phlox_pilosa_subsp._pilosa","Phlox pilosa","Polemoniaceae","Other",NA,"phlox pilosa","Phlox pilosa","L."
"87","PHYVIR","Physostegia_virginiana","Physostegia_virginiana_subsp._virginiana","Physostegia_virginiana_subsp._virginiana","Physostegia virginiana","Lamiaceae","Lamiaceae",NA,"physostegia virginiana","Physostegia virginiana","(L.) Benth."
"88","POLBIC","Polygonatum_biflorum","Polygonatum_biflorum","Polygonatum_biflorum","Polygonatum biflorum","Asparagaceae","Other",NA,"polygonatum biflorum","Polygonatum biflorum","(Walter) Elliott"
"89","POLREP","Polemonium_reptans","Polemonium_reptans","Polemonium_reptans","Polemonium reptans","Polemoniaceae","Other",NA,"polemonium reptans","Polemonium reptans","L."
"90","POTARU","Potentilla_arguta","Drymocallis_arguta","Drymocallis_arguta","Potentilla arguta","Rosaceae","Rosaceae",NA,"potentilla arguta","Drymocallis arguta","(Pursh) Rydb."
"91","PYCPIL","Pycnanthemum_pilosum","Pycnanthemum_verticillatum","Pycnanthemum_verticillatum","Pycnanthemum pilosum","Lamiaceae","Lamiaceae",NA,"pycnanthemum pilosum","Pycnanthemum verticillatum var. pilosum","(Nutt.) Cooperr."
"92","PYCTEN","Pycnanthemum_tenuifolium","Pycnanthemum_tenuifolium","Pycnanthemum_tenuifolium","Pycnanthemum tenuifolium","Lamiaceae","Lamiaceae",NA,"pycnanthemum tenuifolium","Pycnanthemum tenuifolium","Schrad."
"93","PYCVER","Pycnanthemum_verticillatum","Pycnanthemum_verticillatum","Pycnanthemum_verticillatum","Pycnanthemum verticillatum","Lamiaceae","Lamiaceae",NA,"pycnanthemum verticillatum","Pycnanthemum verticillatum","(Michx.) Pers."
"94","PYCVIR","Pycnanthemum_virginianum","Pycnanthemum_virginianum","Pycnanthemum_virginianum","Pycnanthemum virginianum","Lamiaceae","Lamiaceae",NA,"pycnanthemum virginianum","Pycnanthemum virginianum","(L.) T.Durand & B.D.Jacks. ex B.L.Rob. & Fernald"
"95","RATPIN","Ratibida_pinnata","Ratibida_pinnata","Ratibida_pinnata","Ratibida pinnata","Asteraceae","Asteraceae",NA,"ratibida pinnata","Ratibida pinnata","Barnhart"
"96","ROSBLA","Rosa_blanda","Rosa_blanda","Rosa_blanda","Rosa blanda","Rosaceae","Rosaceae",NA,"rosa blanda","Rosa blanda","Aiton"
"97","ROSCAR","Rosa_carolina","Rosa_carolina","Rosa_carolina","Rosa carolina","Rosaceae","Rosaceae",NA,"rosa carolina","Rosa carolina","L."
"98","ROSSET","Rosa_setigera","Rosa_setigera","Rosa_setigera","Rosa setigera","Rosaceae","Rosaceae",NA,"rosa setigera","Rosa setigera","Michx."
"99","RUDFUL","Rudbeckia_fulgida","Rudbeckia_fulgida_var._fulgida","Rudbeckia_fulgida_var._fulgida","Rudbeckia fulgida","Asteraceae","Asteraceae",NA,"rudbeckia fulgida","Rudbeckia fulgida","Aiton"
"100","RUDHIR","Rudbeckia_hirta","Rudbeckia_hirta_var._pulcherrima","Rudbeckia_hirta_var._pulcherrima","Rudbeckia hirta","Asteraceae","Asteraceae",NA,"rudbeckia hirta","Rudbeckia hirta","L."
"101","RUDSUB","Rudbeckia_subtomentosa","Rudbeckia_subtomentosa","Rudbeckia_subtomentosa","Rudbeckia subtomentosa","Asteraceae","Asteraceae",NA,"rudbeckia subtomentosa","Rudbeckia subtomentosa","Pursh"
"102","RUDTRI","Rudbeckia_triloba","Rudbeckia_triloba","Rudbeckia_triloba","Rudbeckia triloba","Asteraceae","Asteraceae",NA,"rudbeckia triloba","Rudbeckia triloba","L."
"103","RUEHUM","Ruellia_humilis","Ruellia_humilis","Ruellia_humilis","Ruellia humilis","Acanthaceae","Other",NA,"ruellia humilis","Ruellia humilis","Nutt."
"104","SCHSCO","Schizachyrium_scoparium","Schizachyrium_scoparium","Schizachyrium_scoparium","Schizachyrium scoparium","Poaceae","Poaceae",NA,"schizachyrium scoparium","Schizachyrium scoparium","(Michx.) Nash"
"105","SENHEB","Senna_hebecarpa","Senna_hebecarpa","Senna_hebecarpa","Senna hebecarpa","Fabaceae","Fabaceae",NA,"senna hebecarpa","Senna hebecarpa","(Fernald) H.S.Irwin & Barneby"
"106","SENMAR","Senna_marilandica","Senna_marilandica","Senna_marilandica","Senna marilandica","Fabaceae","Fabaceae",NA,"senna marilandica","Senna marylandica","(L.) Link"
"107","SILINT","Silphium_integrifolium","Silphium_integrifolium","Silphium_integrifolium","Silphium integrifolium","Asteraceae","Asteraceae",NA,"silphium integrifolium","Silphium integrifolium","Michx."
"108","SILLAC","Silphium_laciniatum","Silphium_laciniatum","Silphium_laciniatum","Silphium laciniatum","Asteraceae","Asteraceae",NA,"silphium laciniatum","Silphium laciniatum","L."
"109","SILTER","Silphium_terebinthinaceum","Silphium_terebinthinaceum","Silphium_terebinthinaceum","Silphium terebinthinaceum","Asteraceae","Asteraceae",NA,"silphium terebinthinaceum","Silphium terebinthinaceum","Jacq."
"110","SISANG","Sisyrinchium_angustifolium","Sisyrinchium_angustifolium","Sisyrinchium_angustifolium","Sisyrinchium angustifolium","Iridaceae","Other",NA,"sisyrinchium angustifolium","Sisyrinchium angustifolium","Mill."
"111","SOLJUN","Solidago_juncea","Solidago_juncea","Solidago_juncea","Solidago juncea","Asteraceae","Asteraceae",NA,"solidago juncea","Solidago juncea","Aiton"
"112","SOLNEM","Solidago_nemoralis","Solidago_nemoralis","Solidago_nemoralis","Solidago nemoralis","Asteraceae","Asteraceae",NA,"solidago nemoralis","Solidago nemoralis","Aiton"
"113","SOLSPE","Solidago_speciosa","Solidago_speciosa","Solidago_speciosa","Solidago speciosa","Asteraceae","Asteraceae",NA,"solidago speciosa","Solidago speciosa","A.Gray"
"114","SORNUT","Sorghastrum_nutans","Sorghastrum_nutans","Sorghastrum_nutans","Sorghastrum nutans","Poaceae","Poaceae",NA,"sorghastrum nutans","Sorghastrum nutans","(L.) Nash"
"115","SPIALB","Spiraea_alba","Spiraea_alba_var._latifolia","Spiraea_alba_var._latifolia","Spiraea alba","Rosaceae","Rosaceae",NA,"spiraea alba","Spiraea alba","Du Roi"
"116","SPOHET","Sporobolus_heterolepis","Sporobolus_heterolepis","Sporobolus_heterolepis","Sporobolus heterolepis","Poaceae","Poaceae",NA,"sporobolus heterolepis","Sporobolus heterolepis","(A.Gray) A.Gray"
"117","SYMERI","Symphyotrichum_ericoides","Symphyotrichum_ericoides","Symphyotrichum_ericoides","Symphyotrichum ericoides","Asteraceae","Asteraceae",NA,"symphyotrichum ericoides","Symphyotrichum ericoides","(L.) G.L.Nesom"
"118","SYMLAE","Symphyotrichum_laeve","Symphyotrichum_laeve","Symphyotrichum_laeve","Symphyotrichum laeve","Asteraceae","Asteraceae",NA,"symphyotrichum laeve","Symphyotrichum laeve","(L.) Á.Löve & D.Löve"
"119","SYMNOV","Symphyotrichum_novae.angliae","Symphyotrichum_novae-angliae","Symphyotrichum_novae-angliae","Symphyotrichum novae-angliae","Asteraceae","Asteraceae",NA,"symphyotrichum novae-angliae","Symphyotrichum novae-angliae","(L.) G.L.Nesom"
"120","SYMOBL","Symphyotrichum_oblongifolium","Symphyotrichum_oblongifolium","Symphyotrichum_oblongifolium","Symphyotrichum oblongifolium","Asteraceae","Asteraceae",NA,"symphyotrichum oblongifolium","Symphyotrichum oblongifolium","(Nutt.) G.L.Nesom"
"121","SYMOOL","Symphyotrichum_oolentangiense","** MISSING **","Symphyotrichum_oolentangiense","Symphyotrichum oolentangiense","Asteraceae","Asteraceae",NA,"symphyotrichum oolentangiense","Symphyotrichum oolentangiense","(Riddell) G.L.Nesom"
"122","SYMSER","Symphyotrichum_sericeum","Symphyotrichum_sericeum","Symphyotrichum_sericeum","Symphyotrichum sericeum","Asteraceae","Asteraceae",NA,"symphyotrichum sericeum","Symphyotrichum sericeum","(Vent.) G.L.Nesom"
"123","TEUCAN","Teucrium_canadense","Teucrium_canadense","Teucrium_canadense","Teucrium canadense","Lamiaceae","Lamiaceae",NA,"teucrium canadense","Teucrium canadense","L."
"124","THADAS","Thalictrum_dasycarpum","Thalictrum_dasycarpum","Thalictrum_dasycarpum","Thalictrum dasycarpum","Ranunculaceae","Ranunculaceae",NA,"thalictrum dasycarpum","Thalictrum dasycarpum","Fisch., C.A.Mey. & Avé-Lall."
"125","TRAOHI","Tradescantia_ohiensis","Tradescantia_ohiensis","Tradescantia_ohiensis","Tradescantia ohiensis","Commelinaceae","Other",NA,"tradescantia ohiensis","Tradescantia ohiensis","Raf."
"126","VERALT","Vernonia_altissima","Vernonia_altissima","Vernonia_altissima","Vernonia altissima","Asteraceae","Asteraceae",NA,"vernonia altissima","Vernonia gigantea","(Walter) Trel."
"127","VERFAS","Vernonia_fasciculata","Vernonia_fasciculata","Vernonia_fasciculata","Vernonia fasciculata","Asteraceae","Asteraceae",NA,"vernonia fasciculata","Vernonia fasciculata","Michx."
"128","VERGIG","Vernonia_gigantea","Vernonia_gigantea","Vernonia_gigantea","Vernonia gigantea","Asteraceae","Asteraceae",NA,"vernonia gigantea","Vernonia gigantea","(Walter) Trel."
"129","VERMIS","Vernonia_missurica","Vernonia_missurica","Vernonia_missurica","Vernonia missurica","Asteraceae","Asteraceae",NA,"vernonia missurica","Vernonia missurica","Raf."
"130","VERSTR","Verbena_stricta","Verbena_stricta","Verbena_stricta","Verbena stricta","Verbenaceae","Other",NA,"verbena stricta","Verbena stricta","Vent."
"131","VERVIR","Veronicastrum_virginicum","Veronicastrum_virginicum","Veronicastrum_virginicum","Veronicastrum virginicum","Scrophulariaceae","Other",NA,"veronicastrum virginicum","Veronicastrum virginicum","(L.) Farw."
"132","VIOPDF","Viola_pedatifida","Viola_pedatifida","Viola_pedatifida","Viola pedatifida","Violaceae","Other",NA,"viola pedatifida","Viola pedatifida","G.Don"
"133","ZIZAPT","Zizia_aptera","Zizia_aptera","Zizia_aptera","Zizia aptera","Apiaceae","Apiaceae",NA,"zizia aptera","Zizia aptera","(A.Gray) Fernald"
"134","ZIZAUR","Zizia_aurea","Zizia_aurea","Zizia_aurea","Zizia aurea","Apiaceae","Apiaceae",NA,"zizia aurea","Zizia aurea","(L.) W.D.J.Koch"
